Afghanistan,1,<1,2,3,2,5,3,2,5,5,3,9,7,4,13,11,6,21
Algeria,90,83,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95
Angola,9,6,12,10,7,15,13,9,18,15,11,22,18,13,26,24,16,34
Argentina,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95
Australia,>95,82,>95,>95,90,>95,94,79,>95,>95,77,>95,90,73,>95,90,73,>95
Azerbaijan,16,10,24,23,15,37,39,24,62,55,34,89,77,48,>95,83,52,>95
Bahamas,>95,>95,>95,95,83,>95,71,62,84,89,78,>95,69,61,81,89,78,>95
Bangladesh,12,10,14,18,15,20,20,17,23,23,20,26,29,24,33,31,26,35
Belarus,>95,73,>95,>95,68,>95,>95,58,>95,>95,49,>95,93,34,>95,94,34,>95
Belize,75,66,87,77,67,91,75,63,89,78,65,93,75,60,91,80,62,>95
Benin,24,18,32,30,22,40,36,27,47,26,20,35,33,24,44,39,29,52,
Bolivia (Plurinational State of),12,8,15,12,8,16,18,12,26,24,16,34,28,17,41,48,29,72
Botswana,59,52,65,69,61,77,82,72,92,93,82,>95,91,79,>95,>95,85,>95
Brazil,55,42,75,51,39,71,64,49,90,66,51,94,71,56,>95,76,61,>95
Burkina Faso,11,9,13,15,13,18,17,13,20,19,15,23,25,20,31,31,24,38
Burundi,14,13,16,16,14,18,17,15,20,20,17,23,24,20,28,29,24,34
Cameroon,9,8,10,10,9,11,12,10,13,13,12,15,15,13,17,18,16,21
Cape Verde,30,24,37,40,32,50,39,31,49,39,31,48,44,35,56,47,38,62
Central African Republic,6,6,7,6,5,6,7,6,8,8,8,9,15,14,17,25,23,28
Chad,5,5,6,8,6,9,8,6,9,13,11,16,17,14,20,22,17,27
Costa Rica,53,48,57,52,47,57,51,46,56,52,47,57,52,47,57,53,48,59
Cuba,52,46,59,35,30,39,65,54,74,74,63,84,>95,91,>95,>95,83,>95
C̫te d'Ivoire,13,11,16,15,12,17,17,14,20,21,18,25,23,19,27,24,20,28
Democratic Republic of the Congo,4,3,5,12,10,14,10,8,12,10,9,12,19,16,23,22,18,27
Djibouti,4,3,5,4,3,5,4,3,5,5,3,6,5,4,8,8,6,12
Dominican Republic,28,20,42,33,23,50,39,27,59,39,27,60,39,27,60,39,27,61
Ecuador,66,54,80,>95,90,>95,>95,86,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95
Egypt,22,15,33,23,16,35,21,15,33,24,16,37,26,18,42,27,18,43
El Salvador,88,82,91,>95,90,>95,84,77,89,79,73,85,94,85,>95,78,70,84
Equatorial Guinea,2,2,2,4,3,4,6,6,7,8,7,8,8,8,9,10,9,11
Eritrea,13,10,16,16,12,21,20,15,27,24,18,32,29,21,38,35,25,47
Gabon,12,10,13,13,11,15,16,14,18,25,21,28,39,33,45,52,44,60
Gambia,9,8,11,13,10,16,15,12,19,16,13,19,21,16,25,24,19,30
Georgia,85,70,>95,83,71,>95,87,75,>95,>95,83,>95,>95,90,>95,>95,>95,>95
Ghana,10,8,12,13,11,15,16,14,20,19,16,23,23,20,28,27,22,32
Guatemala,50,33,70,65,43,93,65,45,93,56,39,81,54,39,80,44,32,64
Guinea,9,8,11,9,8,11,12,10,14,16,14,18,16,14,18,22,19,25
Guyana,92,71,>95,>95,85,>95,>95,89,>95,>95,89,>95,>95,89,>95,>95,85,>95
Haiti,10,8,12,14,11,17,17,14,21,22,18,27,27,22,33,30,24,37
Honduras,51,43,62,53,45,64,66,55,79,71,58,86,79,64,>95,74,59,91
Indonesia,8,7,9,8,7,9,9,7,10,12,10,14,13,11,16,16,13,18
Iran (Islamic Republic of),3,3,5,6,4,8,8,6,11,9,7,13,11,8,15,12,9,18
Jamaica,>95,81,>95,>95,89,>95,>95,90,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95
Kazakhstan,77,52,>95,83,58,>95,91,63,>95,>95,69,>95,>95,72,>95,>95,>95,>95
Kenya,26,22,30,38,32,45,47,38,55,53,44,64,63,52,75,73,60,88
Latvia,>95,>95,>95,92,80,>95,>95,83,>95,>95,83,>95,>95,83,>95,>95,>95,>95
Lesotho,32,30,35,35,32,37,36,33,39,37,34,40,41,38,45,56,51,61
Liberia,7,6,7,12,11,14,10,8,11,9,8,10,10,9,11,10,9,11
Madagascar,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Malawi,18,16,19,23,21,25,31,29,34,40,36,44,45,41,50,61,55,68
Malaysia,>95,93,>95,>95,>95,>95,>95,91,>95,>95,92,>95,>95,91,>95,>95,91,>95
Mali,11,10,13,14,12,16,16,14,19,17,15,21,20,17,24,23,19,27
Mauritania,2,2,2,<1,<1,<1,<1,<1,<1,8,6,9,10,8,12,13,10,16
Mexico,75,69,83,82,75,90,90,81,>95,93,84,>95,>95,85,>95,>95,95,>95
Mongolia,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
Morocco,36,29,43,45,37,54,55,43,66,75,59,91,>95,81,>95,>95,82,>95
Mozambique,15,11,19,19,14,24,21,16,28,34,25,46,52,38,72,57,41,80
Myanmar,21,18,24,29,25,34,40,33,46,49,41,57,61,51,71,75,63,86
Namibia,78,70,86,89,80,>95,>95,87,>95,89,81,>95,>95,87,>95,>95,86,>95
Nepal,16,13,18,24,20,27,31,26,35,37,31,42,48,41,55,58,49,67
Nicaragua,27,18,46,32,21,56,40,27,71,48,33,88,57,39,>95,69,47,>95
Niger,5,4,6,7,6,8,10,9,12,9,7,10,11,9,12,16,13,18
Pakistan,4,3,7,4,3,6,4,3,6,3,3,5,4,3,7,5,4,8
Panama,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,91,>95,92,75,>95
Papua New Guinea,14,13,16,17,15,18,21,19,23,26,24,29,32,29,35,36,33,39
Paraguay,31,21,52,51,33,85,56,37,94,62,41,>95,60,38,>95,58,35,>95
Peru,34,28,42,37,30,45,43,34,54,59,47,76,70,54,90,84,62,>95
Philippines,8,6,24,7,5,16,11,9,22,5,4,9,7,5,10,10,8,16
Republic of Moldova,29,22,40,36,27,52,44,31,64,56,40,84,67,47,>95,75,52,>95
Rwanda,41,35,47,46,39,52,52,45,60,59,49,68,65,54,76,74,61,86
Senegal,17,14,20,17,14,20,18,15,21,17,14,20,20,17,24,25,21,30
Sierra Leone,10,8,11,11,10,13,10,9,11,8,7,9,8,7,9,13,11,15
Somalia,<1,<1,<1,2,1,2,1,1,2,2,2,3,3,2,4,4,3,5
South Africa,33,30,36,44,40,48,53,48,59,62,57,68,69,63,76,74,68,82
South Sudan,<1,<1,<1,1,<1,1,1,<1,2,2,1,3,4,3,5,5,3,7
Spain,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95
Sri Lanka,33,23,52,36,25,56,42,29,63,42,30,62,47,33,69,46,32,66
Sudan,9,7,12,5,4,6,6,5,7,8,7,9,12,10,14,11,9,15
Suriname,76,66,86,81,72,92,89,78,>95,79,70,89,90,80,>95,>95,89,>95
Swaziland,49,45,52,57,53,61,64,60,69,70,65,74,72,68,77,78,74,84
Tajikistan,10,8,13,28,22,35,56,46,68,>95,82,>95,>95,>95,>95,>95,>95,>95
Thailand,78,67,89,83,72,>95,87,75,>95,91,78,>95,>95,84,>95,>95,89,>95
Togo,11,9,12,15,13,17,18,15,21,22,19,26,28,24,33,34,29,41
Trinidad and Tobago,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95
Uganda,17,16,19,20,18,22,31,28,34,39,35,44,53,47,60,63,55,71
Ukraine,74,62,88,78,65,93,81,68,>95,86,71,>95,86,71,>95,75,61,93
United Republic of Tanzania,15,13,17,16,14,18,28,25,32,37,31,42,43,36,49,56,47,65
Uruguay,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95
Uzbekistan,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95,>95
Venezuela (Bolivarian Republic of),53,49,58,41,38,45,46,42,50,45,41,50,46,42,51,55,50,61
Viet Nam,84,68,>95,90,73,>95,93,75,>95,94,76,>95,>95,78,>95,>95,80,>95
Yemen,13,8,19,16,10,23,15,10,23,16,11,24,34,23,54,32,21,50
Zambia,25,23,27,30,28,33,35,32,38,52,47,57,50,45,55,61,55,67
Zimbabwe,32,28,35,41,36,45,51,45,56,53,47,59,68,60,76,80,70,89
Global,21,18,23,26,23,29,31,27,35,37,32,42,43,37,49,49,42,55
